timestamp,actual_demand,pred_demand,pred_low,pred_high,supply,DSR,is_event,multiplier,dynamic_price,smoothed_price,dynamic_demand,dynamic_revenue,static_revenue,revenue_diff,hour,date,week,dsr_zone
2023-10-20 15:00:00,79,78.02417728396624,78.02417728396624,83.27154779621685,100,0.7821782178217822,0,0.8822,8.822,9.71,80.64429142238849,783.0560697113923,790.0,-6.943930288607703,15,2023-10-20,42,1_Low (DSR<0.8)
2023-10-20 16:00:00,161,161.94897280802883,141.87216673923442,165.3365148534599,90,1.7692307692307692,0,1.3547,13.547,10.67,153.85470520383225,1641.62970452489,1610.0,31.62970452489003,16,2023-10-20,42,3_Mild surge (1.2-2.0)
2023-10-20 17:00:00,251,246.8608792955532,223.16979868136536,246.8608792955532,92,2.6989247311827955,0,1.8229,18.229,12.56,213.9838385765252,2687.6370125211565,2510.0,177.63701252115652,17,2023-10-20,42,4_Strong surge (>2.0)
2023-10-20 18:00:00,327,323.0442035844892,306.5271408401962,354.76213526754054,76,4.246753246753247,0,2.5,25.0,15.67,238.780828715674,3741.6955859746113,3270.0,471.6955859746113,18,2023-10-20,42,4_Strong surge (>2.0)
2023-10-20 19:00:00,291,295.56997265783565,287.8376121674312,302.81569429200584,75,3.8289473684210527,0,2.3962,23.962,17.74,194.81637503893012,3456.0424931906205,2910.0,546.0424931906205,19,2023-10-20,42,4_Strong surge (>2.0)
2023-10-20 20:00:00,221,223.1017508406539,220.915792868753,241.9590138841412,62,3.507936507936508,0,2.2222,22.222,18.86,141.74674403450922,2673.343592490844,2210.0,463.343592490844,20,2023-10-20,42,4_Strong surge (>2.0)
2023-10-20 21:00:00,150,147.7639918706445,142.30317695043234,153.7532942390557,60,2.459016393442623,0,1.7095,17.095,18.42,97.81118510352653,1801.6820296069584,1500.0,301.6820296069584,21,2023-10-20,42,4_Strong surge (>2.0)
2023-10-20 22:00:00,70,76.00100819230741,70.84383581712248,83.89264051683332,57,1.206896551724138,0,1.0754,10.754,16.5,49.30140307144047,813.4731506787678,700.0,113.47315067876775,22,2023-10-20,42,3_Mild surge (1.2-2.0)
2023-10-20 23:00:00,45,46.99520530988431,43.08855809036535,50.21495086434633,60,0.7377049180327869,0,0.8495,8.495000000000001,14.5,34.6940429834073,503.06362325940586,450.0,53.06362325940586,23,2023-10-20,42,1_Low (DSR<0.8)
2023-10-21 00:00:00,40,40.78483421489551,39.05317877789098,40.78483421489551,52,0.7547169811320755,0,0.8719,8.719,13.05,33.19958333096923,433.2545624691485,400.0,33.25456246914848,0,2023-10-21,42,1_Low (DSR<0.8)
2023-10-21 01:00:00,35,36.11255335608671,35.41856900526563,37.38814196978621,49,0.7,0,0.8432,8.431999999999999,11.9,30.987402362932198,368.75008811889313,350.0,18.75008811889313,1,2023-10-21,42,1_Low (DSR<0.8)
2023-10-21 02:00:00,43,42.78158510378862,40.43460169336858,43.89780998310383,52,0.8113207547169812,0,0.8949,8.949,11.16,39.82020755377456,444.3935163001241,430.0,14.393516300124077,2,2023-10-21,42,2_Balanced (0.8-1.2)
2023-10-21 03:00:00,42,41.58049550296763,39.50068597377961,43.052952403459095,50,0.8235294117647058,0,0.9004,9.004,10.62,40.26819181475415,427.648197072689,420.0,7.648197072689015,3,2023-10-21,42,2_Balanced (0.8-1.2)
2023-10-21 04:00:00,34,34.31659146995782,34.31659146995782,35.772130752787426,55,0.6071428571428571,0,0.8,8.0,9.96,34.09552484957569,339.59142750177386,340.0,-0.4085724982261354,4,2023-10-21,42,1_Low (DSR<0.8)
2023-10-21 05:00:00,36,36.1258080711554,35.21969602850263,36.31769432129428,57,0.6206896551724138,0,0.8067,8.067,9.49,37.343597382036,354.39073915552166,360.0,-5.609260844478342,5,2023-10-21,42,1_Low (DSR<0.8)
2023-10-21 06:00:00,42,44.956700489810686,44.79201979489628,45.32160404692393,49,0.84,0,0.9184,9.184,9.41,43.82647627234681,412.4071417227835,420.0,-7.592858277216521,6,2023-10-21,42,2_Balanced (0.8-1.2)
2023-10-21 07:00:00,100,100.47946909604862,92.71424275653028,110.12035252430778,67,1.4705882352941178,0,1.2035,12.035,10.07,99.51289725050312,1002.0948753125664,1000.0,2.094875312566387,7,2023-10-21,42,3_Mild surge (1.2-2.0)
2023-10-21 08:00:00,248,245.9701326109959,226.6182841039547,252.36387915855863,68,3.5942028985507246,0,2.2612,22.612,13.21,204.08905205757637,2696.0163776805834,2480.0,216.01637768058345,8,2023-10-21,42,4_Strong surge (>2.0)
2023-10-21 09:00:00,303,302.41638020485146,302.41638020485146,328.7570839240621,70,4.267605633802817,0,2.5,25.0,16.16,216.53777951438096,3499.250516952396,3030.0,469.2505169523961,9,2023-10-21,42,4_Strong surge (>2.0)
2023-10-21 10:00:00,242,243.16039153375667,225.41499237483572,243.97630523967703,84,2.847058823529412,0,1.9016,19.016,16.87,167.81655758058093,2831.0653263844006,2420.0,411.0653263844006,10,2023-10-21,42,4_Strong surge (>2.0)
2023-10-21 11:00:00,109,113.70317111092048,106.84598385875913,124.10281029957068,82,1.313253012048193,0,1.1305,11.305,15.48,80.27620410483384,1242.675639542828,1090.0,152.6756395428281,11,2023-10-21,42,3_Mild surge (1.2-2.0)
2023-10-21 12:00:00,135,136.45331236989213,128.07134839030263,140.60007707371264,87,1.5340909090909092,0,1.2497,12.497,14.73,102.94182081650456,1516.3330206271123,1350.0,166.33302062711232,12,2023-10-21,42,3_Mild surge (1.2-2.0)
